36
Gray Vinyl plank, 7" x 48"|24.89
Sterling Oak vinyl plank, 8.7"x47.6"|24.89
Carrara Marble Vinyl tile, 12"x24"|16.99
Sandpiper Oak Vinyl plank, 6"x36"|28.99
Taupe Oak Peel and Stick Vinyl Plank, 6"x36"|16.99
Trafficmaster Thick laminate, 8mm|9.99
Lifeproof Pebble Oak laminate 12mm, 8"x48"|19.99
Lifeproof Folkstone Oak Laminate 12mm, 8"x48"|24.99
Lifeproof Dovetail Pine laminate 12mm, 8"x48"|29.99
Trafficmaster Boston Cherry Laminate 8mm, 8"x55"|9.99
Trafficmaster Farmstead Hickory 12mm, 6"x48"|15.99
Gordon Acacia 6-1/2" click engineered floor|49.90
Optiwood Honeytone hardwood, 5"|49.99
White Oak Gunstock hardwood, 3-1/4"|37.99
Wide Plank Maple Manhattan hardwood, 6-1/2"|68.49
Miramonte Birch Hardwood Flooring|39.99
Montagna Wood porcelain tile, 6" x 24"|36.99
Carrara Marble Porcelain tile, 12"x 24"|49.99
Quartzite multi-grey 10"x12" hexagon tile|69.99
Quartzite glazed porcelain tile, 12x24|51.99
Zera Annex Olive Porcelain tile, 12x24|26.99
Pulpis grey 2" hexagon porcelain tile|68.99
Hudson Tangier Marine porcelain tile|94.99
Trafficmaster utility mat squares|10.99
Lanart Grey Attrium rug|29.99
Home Decorates Grey Deluxe Shag rug|32.99
Klondike II Dark Cloud carpet|9.99
Laverne Bagpipe Sky carpet|10.99
Beige Berber carpet|13.99
Frieze carpet, beige|16.99
Frieze carpet, light grey|16.99
Frieze carpet, dark grey|16.99
Frieze carpet, white|16.99
Frieze carpet, dark tan|16.99
Tradewind carpet, grey|17.79
Sand Pebble carpet, grey|29.79
